img,output,flag,username,timestamp
c:\Users\Nguyen Thanh Dat\Downloads\Hand-Written-main\Hand-Written-main\flagged\img\tmpl64pnlkn.png,c:\Users\Nguyen Thanh Dat\Downloads\Hand-Written-main\Hand-Written-main\flagged\output\tmpj0akc2qc.json,,,2023-05-19 16:22:53.725865
c:\Users\Nguyen Thanh Dat\Downloads\Hand-Written-main\Hand-Written-main\flagged\img\tmp7_aqece3.png,c:\Users\Nguyen Thanh Dat\Downloads\Hand-Written-main\Hand-Written-main\flagged\output\tmpbrbhtlzt.json,,,2023-05-19 19:04:02.371368
